Company,URL,Company Description,All Investors,Total Funding,Sector,Industry,Sub-Industry,Country,State,City,Phone,Email,VC Backed,Exit Round,Exit Date,Last Funding Round,Last Funding Date,Last Funding Amount,Last Funding Simplified Round,Last Funding Investors,Min Valuation,Max Valuation,Min Price/Sales Ratio,Max Price/Sales Ratio,Continent,Private Collections,Expert Collections,Twitter Score,# Twitter Followers,Twitter Engagement,Followers to Following,Twitter Followers Growth,Twitter Mentions Growth,Twitter Handle
BOKU,http://www.boku.com,"Boku is a direct carrier billing mobile payments company, integrated with hundreds of mobile operators all over the world. Its bank-grade payments technology allows consumers to charge purchases to their mobile phone bill. Boku partners with global merchants including Facebook, Sony, Microsoft, Spotify, Riot Games, and many more.",Andreessen Horowitz;Benchmark;DAG Ventures;Deutsche Telekom Capital Partners;Index Ventures;Khosla Ventures;New Enterprise Associates;Public;Telefonica Ventures;Undisclosed Investors,104.84,Mobile & Telecommunications,Mobile Software & Services,Payments,United States,California,San Francisco,415-378-9180,investors@boku.com,Yes,IPO,2017/11/20,Series E,2016/09/01,13.75,Series E,Index Ventures;New Enterprise Associates;DAG Ventures;Khosla Ventures;Benchmark,42.926752,42.926752,,,North America,,Fin tech ( Fintech );Smart Money VCs,,337,0,1.13,,,@bokumobilepay
BPZ Resources,http://www.bpzenergy.com,"BPZ Resources is a Energy & Utilities/Oil & Gas Production & Exploration company based in Houston, Texas. BPZ Resources' investors include SEI Institutional Investments Trust, Wasatch Advisors, Van Berkom and Associates, Columbus Capital Management, Treaty Oak Capital Management, Spectrum Galaxy Fund, Sandor Advisors, Talvest Funds - Talvest Small Cap Canadian Equity, JBWere, Kaizen Capital, Falcon Fund, Atlas Capital Management, Seligman Investments, J & W Seligman, Pacific Assets Management, SEI Investments, Retail Employees Superannuation Trust, Wellington Management, CIBC World Markets, Telstra Super Pty, Goldman Sachs, JMG Capital Management, Renaissance Global Small-Cap Fund, T2 Ltd., Central States Small Companies and Bedrock Capital Partners.",Atlas Capital Management;Bedrock Capital Management;British Columbia Investment Management Corp;Central States Small Companies;CIBC World Markets;Columbus Capital Management;Cougar Trading;DKR Capital;Dow Venture Capital;Dynamis Advisors;Falcon Fund;Forest Hill Capital;GIC;GLG European;GLG Partners;Goldman Sachs;H.C. Schmieding Produce Company;JBWere;JMG Capital Management;Jose Alvarez;Kaizen Management;M&I Investment Management;Marshall Funds;Meadowbrook Capital Management;Morgan Keegan Ventures;Pacific Assets Management;Public;Radian Group;Renaissance Global Small-Cap Fund;Retail Employees Superannuation Trust;Rubicon Fund Management LLP;Sandor Advisors;Schmieding Foundation;SEI;Seligman Investments;Spectrum Galaxy Fund;T2 Ltd.;Talvest Funds - Talvest Small Cap Canadian Equity;Telstra Super Pty;Treaty Oak Capital Management;Van Berkom and Associates;Wasatch Advisors;Wellington Management,72.12,Energy & Utilities,Oil & Gas Production & Exploration,,United States,Texas,Houston,281-556-6200,,Yes,IPO,2007/06/18,Unattributed VC - II,2007/06/14,37.72,Venture Capital,Spectrum Galaxy Fund;Goldman Sachs;Atlas Capital Management;JMG Capital Management;CIBC World Markets;Central States Small Companies;Columbus Capital Management;Telstra Super Pty;Talvest Funds - Talvest Small Cap Canadian Equity;SEI;Kaizen Management;Pacific Assets Management;Bedrock Capital Management;Falcon Fund;Renaissance Global Small-Cap Fund;JBWere;Wasatch Advisors;Van Berkom and Associates;Sandor Advisors;Seligman Investments;Treaty Oak Capital Management;T2 Ltd.;Wellington Management;Retail Employees Superannuation Trust,,,,,North America,,,,,,,,,
BackWeb Technologies,http://www.backwebtech.com," BackWeb Technologies is a provider of Priority Internet communication infrastructure software and application-specific software that enable companies to communicate business-critical, time-sensitive information throughout the extended enterprise of customers, partners and employees. BackWeb's products provide a reliable solution for communicating large amounts of data in any digital format by enabling its customers to gather and disseminate information efficiently by automatically adapting the rate of transmission to match available network capacity.",Evergreen Venture Partners;Pitango Venture Capital;Public;Trinity Ventures;Undisclosed Venture Investors,55.6,Internet,Internet Software & Services,Networking & Connectivity,United States,California,San Jose,408-933-1700,,Yes,IPO,1999/06/01,Series D,1999/01/01,10,Series D,Undisclosed Venture Investors,54.318841,54.318841,,,North America,,,,,,,,,
Bellerophon Therapeutics,http://www.bellerphon.com,Bellerophon Therapeutics (NASDAQ: BLPH) is a clinical-stage biotherapeutics company. The company is focused on developing innovative products combining novel drugs and devices in the treatment of cardiopulmonary and cardiac diseases. Bellerophon's mission is to develop well-studied molecules deployed through innovative delivery systems to treat diseases with significant unmet clinical need.,5AM Ventures;ARCH Venture Partners;Ikaria;New Mountain Capital;Public;Venrock,80,Healthcare,Biotechnology,,United States,New Jersey,Warren,908-574-4770,,Yes,IPO,2015/02/13,Series A,2013/12/26,80,Series A,ARCH Venture Partners;Venrock;5AM Ventures;New Mountain Capital,154.86,154.86,,,North America,,Pharma Startups,,,,,,,
Benefitfocus,http://www.benefitfocus.com,"Benefitfocus is a provider of cloud-based benefits software solutions for consumers, employers, insurance carriers, and brokers. The Benefitfocus platform provides an integrated suite of solutions that enables customers to more efficiently shop, enroll, manage, and exchange benefits information. The company's web-based platform has a user-friendly interface designed to enable insured individuals and their dependents to access all of their benefits in one place. Benefitfocus' solutions support core benefits plans, including healthcare, dental, life, and disability insurance, and voluntary benefits plans, such as critical illness, supplemental income, and wellness programs.",Goldman Sachs;Oak Investment Partners;Public,30,Internet,Internet Software & Services,Healthcare,United States,South Carolina,Charleston,843-849-7476,,Yes,IPO,2013/09/18,Series B,2010/08/25,30,Series B,Oak Investment Partners,644.28,644.28,7.025954198,7.885924113,North America,,Digital Health,,6254,0.11,5.41,100.00%,-18.00%,@Benefitfocus
Bg Medicine,http://www.bg-medicine.com,"Bg Medicine is developing transformative in vitro and in vivo diagnostic products.  BG Medicine is a life sciences company focused on the discovery, development, and commercialization of novel diagnostic tests based on biomarkers for high-value market opportunities in healthcare.  Bg Medicine is developing multiple product candidates for cardiac and other diseases and have recently begun limited sales and marketing activities in Europe for the company's lead product, BGM Galectin-3.  The company believe that its tests will provide clinicians with improved information to better detect and characterize disease states and that this improved information may enable physicians to achieve better patient outcomes and contain healthcare costs through:  Earlier diagnosis, Segmentation based on underlying disease processes, More accurate prognosis, and Personalized treatment selection or monitoring of disease based on disease activity.  Bg Medicine's focus is on blood-based tests due to the ease and low cost of access to evaluable samples for testing and the opportunity for repeat sampling to monitor changes in a patient's medical condition.",Capital Group Companies;Flagship Pioneering;GE Capital;General Electric;Gilde Healthcare Partners;Gilde Investment Management;Humana Ventures;Legg Mason;NewcoGen Group;Public;SMALLCAP World Fund;Stelios Papadopoulos,65.55,Healthcare,Medical Devices & Equipment,Imaging & Diagnostic Equipment,United States,Massachusetts,Waltham,781-890-1199,,Yes,IPO,2011/02/21,Series D,2008/07/10,40,Series D,GE Capital;Gilde Investment Management;SMALLCAP World Fund;Flagship Pioneering;Capital Group Companies;Stelios Papadopoulos;Legg Mason;General Electric;Gilde Healthcare Partners;Humana Ventures,128.75,128.75,74.42196532,74.42196532,North America,,Medical Devices,,,,,,,
Big 5 Sporting Goods,http://www.big5sportinggoods.com,"Big 5 is a sporting goods retailer in the western United States, operating stores under the ""Big 5 Sporting Goods"" name. Big 5 provides a full-line product offering in a traditional sporting goods store format that averages 11,000 square feet. Big 5's product mix includes athletic shoes, apparel and accessories, as well as a broad selection of outdoor and athletic equipment for team sports, fitness, camping, hunting, fishing, tennis, golf, winter and summer recreation and roller sports.",Public;Undisclosed Venture Investors,,Retail (non-internet/mobile),Sporting Goods,,United States,California,El Segundo,310-297-7706,,Yes,IPO,2002/06/25,Series A,2001/07/01,,Series A,Undisclosed Venture Investors,281.82,281.82,,,North America,,,,,,,,,
BigBand Networks,http://www.bigbandnet.com,"BigBand Networks, founded in 1998, is a provider of broadband multimedia infrastructure for video, voice and data. The company's solutions are designed to process, optimize, and deliver services such as broadband Internet, VoIP, digital broadcast television, HDTV, transport of high quality video, local advertising, VOD, interactive TV and IPTV through any network. Service providers use BigBand Networks' platforms in efforts to cost-effectively expand revenue-generating offerings of rich content and advanced interactive services. Customers include cable operators, U.S. telecommunications companies, as well as leading service providers in Asia, Europe and Latin America.",BroadBand Venture Partners;Cedar Fund;CRV;Eastward Capital Partners;Evergreen Venture Partners;Lauder Partners;Meritech Capital Partners;Pilot House Ventures;Public;Redpoint Ventures;Star Ventures;Undisclosed Investors;WarnerMedia Investments,100.05,Software (non-internet/mobile),Supply Chain & Logistics Software,,United States,California,Redwood City,650-995-5000,,Yes,IPO,2007/05/10,Series E,2004/06/07,25.05,Series E,Pilot House Ventures;CRV;Evergreen Venture Partners;Redpoint Ventures;WarnerMedia Investments;Meritech Capital Partners,,,,,North America,,Smart Money VCs,,73,0,2.52,100.00%,,@BigBandNet
Bigtincan Holdings,http://www.bigtincan.com,"Bigtincan Holdings (ASX: BTH) provides bigtincan hub, a suite of productivity tools that enables users to engage with the right content at the right time in the right location. It also offers intelligent insights around the interaction, utilization, and value of content within an organization, while giving control and governance over content usage and sharing.",Public;Southern Cross Venture Partners,5,Mobile & Telecommunications,Mobile Software & Services,Content Management,United States,Massachusetts,Boston,781-405-2376,,Yes,IPO,2017/03/24,Series A,2014/02/21,5,Series A,Southern Cross Venture Partners,,,,,North America,,,700,1407,0.32,1.64,71.00%,10.00%,@bigtincan
BioCryst Pharmaceuticals,http://www.biocryst.com,"BioCryst Pharmaceuticals is a Healthcare/Biotechnology company based in Birmingham, Alabama . BioCryst Pharmaceuticals' investors include TPG Growth, OrbiMed Advisors, Baker Brothers Advisors, Electronic Healthcare Systems, Kleiner Perkins Caufield & Byers and Stephens Investment Management.",Baker Brothers Investments;Electronic Healthcare Systems;Johnson & Johnson;Kleiner Perkins Caufield & Byers;OrbiMed Advisors;Public;Stephens Investment Management Group;TPG Biotech;UBS,57.43,Healthcare,Biotechnology,,United States,Alabama,Birmingham,205-444-4600,,Yes,IPO,2007/08/13,Unattributed VC - III,2005/12/09,30,Venture Capital,Kleiner Perkins Caufield & Byers;TPG Biotech,,,,,North America,,Smart Money VCs;Pharma Startups;Rare Diseases,,,,,,,
BioNano Genomics,http://www.bionanogenomics.com,"BioNano Genomics offers genome mapping and analysis tools aimed at helping researchers see genome structure to fill in what's missing from sequencing-based data. The company works with institutions in life science, translational research, molecular diagnostics and personalized medicine.",21Ventures;Aspire Capital;Battelle Ventures;Ben Franklin Technology Partners of Southeastern PA;Domain Associates;Federated Equity Funds - Federated Kaufmann Fund;Federated Investors;Gund Investment Corporation;Innovation Valley Partners;Innovatus Capital Partners;KT Venture Group LLC;Legend Capital;Monashee Capital;Monashee Investment Management;Novartis Venture Funds;Public;Undisclosed Investors;University City Science Center;Unus Ventures,118.13,Healthcare,Biotechnology,,United States,California,San Diego,267-499-2014,info@bionanomatrix.com,Yes,IPO,2018/08/21,Series C - II,2015/01/28,15.4,Series C,Federated Equity Funds - Federated Kaufmann Fund;Legend Capital;Monashee Capital;Gund Investment Corporation;Novartis Venture Funds;Battelle Ventures;Domain Associates,51.47,51.47,,,North America,,Digital Health;Genomics,,1334,0.28,4.36,30.00%,29.00%,@bionanogenomics
BioSig Technologies,http://www.biosigtech.com,BioSig Technologies is a medical device company developing clinical solutions for the diagnosis and treatment of abnormal heart rhythms (arrhythmias). BioSig's PURE (Precise Uninterrupted Real-time evaluations of Electrograms) platform is designed to assist electrophysiologists during the termination of arrhythmias by cardiac ablation. PURE empowers electrophysiologists to make crucial clinical decisions in real time by providing information unobtainable with any other equipment presently in the electrophysiology (EP) lab.,BioStar Capital;Endicott Management Partners;Public;Undisclosed Investors,5.94,Healthcare,Medical Devices & Equipment,Device Design & Manufacturing,United States,California,Los Angeles,310-820-8100,,Yes,IPO,2018/09/21,Unattributed,2014/05/06,0.57,Undisclosed,Undisclosed Investors,,,,,North America,,Medical Devices,,,,,,,
BioSphere Medical,http://www.biospheremed.com,"BioSphere Medical is a Healthcare/Biotechnology company based in Rockland, Massachusetts. BioSphere Medical's investors include Enable Capital Management, Fidelity Investments, Clough Global, Clough Capital Partners, Meadowbrook Capital Management, Nite Capital Management, Iroquois Capital, Westcliff Capital Management, Jennison Associates, Whitebox Advisors, Magnetar Capital, SRB Management and JennisonDryden Sector Funds.",Castle Creek Capital;Clough Global;Domain Associates;Enable Capital Management;Fidelity Investments;Iroquois Capital Group;Jennison Associates;Jennison Sector Funds;Magnetar Capital;Meadowbrook Capital Management;Merlin Biomed Group;Nite Capital Management;Noble Partners;Public;Richter Investment;SRB Management;Summer Hill Partners;Sunovion Pharmaceuticals;United Capital Management;Westcliff Capital Management;Whitebox Advisors,27.89,Healthcare,Biotechnology,,United States,Massachusetts,Rockland,781-681-7900,,Yes,IPO,2006/04/13,Unattributed VC - II,2006/02/21,14.53,Venture Capital,Fidelity Investments;SRB Management;Whitebox Advisors;Nite Capital Management;Jennison Associates;Jennison Sector Funds;Clough Global;Enable Capital Management;Magnetar Capital;Westcliff Capital Management;Meadowbrook Capital Management;Iroquois Capital Group,,,,,North America,,,,,,,,,
BioTelemetry,http://www.gobio.com,"BioTelemetry (NASDAQ:BEAT), fka CardioNet, is a wireless medical technology company focused on the delivery of health information to improve quality of life and reduce cost of care. The Company provides cardiac monitoring services, original equipment manufacturing with a primary focus on cardiac monitoring devices, and centralized cardiac core laboratory services.",Biofrontier Partners;Flare Capital Partners;Guidant Compass Group;IDEO;IngleWood Ventures;Palm Ventures;Public;Sanderling Ventures;Tekla Capital Management,163.24,Healthcare,Medical Facilities & Services,,United States,Pennsylvania,Malvern,888-312-2328,,Yes,IPO,2008/07/07,Unattributed VC - IV,2007/03/16,110,Venture Capital,Sanderling Ventures;Flare Capital Partners;Tekla Capital Management,16.155916,16.155916,,,North America,,,,442,0,0.88,-300.00%,,@CardioNetMCOT
Biocept,http://www.biocept.com,"Biocept is a molecular oncology diagnostics company specializing in Circulating Tumor Cells (CTCs) and biomarker analysis, headquartered in San Diego, California. The company's mission is to improve outcomes for cancer patients by advancing oncology diagnostics. Biocept utilizes patented and innovative technologies to deliver clinically relevant oncology diagnostics to physicians by providing advanced prognostic and predictive assessments for guiding the course of treating patients. Additionally, the company offers services to other laboratory testing providers, academic institutions, research organizations, biopharmaceutical companies, and clinical trial support.",Goodman Co.;Needham Capital Partners;Public;Undisclosed Investors;Undisclosed Venture Investors,27.6,Healthcare,Biotechnology,,United States,California,San Diego,858-320-8200,info@biocept.com,Yes,IPO,2014/02/05,Growth Equity - II,2011/02/16,6,Growth Equity,Needham Capital Partners;Goodman Co.,43.52,43.52,0.376992377,0.376992377,North America,,,,,,,,,
Biodel,http://www.biodel.com,"Biodel Inc. is a biopharmaceutical drug delivery company. Biodel develops drug delivery technologies that increase drug efficacy, enhance drug performance, and make drugs easier for patients to take. This technology is applicable to a wide range of peptides, proteins and other macromolecules. Using this technology, Biodel has developed a drug formulation of recombinant human insulin designed to speed the delivery of insulin into the blood called ViajectTM to treat patients with Type 1 and Type 2 diabetes. On May 17, 2007, Biodel had its initial public offering and now trades on Nasdaq under the symbol 'BIOD.""",Great Point Partners;New England Partners;Nexus Medical Partners;OrbiMed Advisors;Public;UBS;Vivo Capital,21,Healthcare,Biotechnology,,United States,Connecticut,Danbury,203-796-5000,careers@biodel.com,Yes,IPO,2008/02/18,Unattributed VC,2006/07/24,21,Venture Capital,New England Partners;Great Point Partners;OrbiMed Advisors;UBS;Nexus Medical Partners;Vivo Capital,,,,,North America,,Pharma Startups,,,,,,,
Biohaven Pharmaceutical,http://www.biohavenpharma.com,"Biohaven Pharmaceutical (NYSE: BHVN) is a clinical-stage biopharmaceutical company with a portfolio of late-stage product candidates targeting neurological diseases, including rare disorders. The company's product candidates are small molecules based on two distinct mechanistic platforms - calcitonin gene-related peptide, or CGRP, receptor antagonists and glutamate modulators - which have the potential to significantly alter existing treatment approaches across a diverse set of neurological indications with high unmet need in both large markets and orphan indications.",Aisling Capital;Aperture Venture Partners;Connecticut Innovations;Greg Bailey;John Childs;Knoll Capital Management;Litmore Capital;Osage University Partners;Portage Biotech;Public;RA Capital Management;Rock Springs Capital;Venrock;Vivo Capital,80,Healthcare,Biotechnology,,United States,Connecticut,New Haven,203-404-0410,corporate@biohavenpharma.com,Yes,IPO,2017/05/04,Series A,2016/11/01,80,Series A,Venrock;Greg Bailey;Knoll Capital Management;Connecticut Innovations;Osage University Partners;Litmore Capital;Rock Springs Capital;Aperture Venture Partners;Vivo Capital;John Childs;RA Capital Management;Aisling Capital,555.27,555.27,,,North America,,Pharma Startups;Neuroscience Startups,,,,,,,
Bloom Energy,http://www.bloomenergy.com,"Bloom Energy, formerly Ion America, is a provider of solid oxide fuel cell technology generating clean, highly efficient onsite power from multiple fuel sources.",Advanced Equities Financial;Alumni Ventures Group;Apex Venture Partners;ATEL Ventures;Credit Suisse;DAG Ventures;E.ON;G Squared;Goldman Sachs;GSV Capital;Khosla Ventures;Kleiner Perkins Caufield & Byers;Mobius Venture Capital;Morgan Stanley;New Enterprise Associates;Northport Investments;Public;Undisclosed Investors,924.5,Energy & Utilities,Renewables,Hydrogen/Fuel Cell,United States,California,Sunnyvale,408-543-1500,info@bloomenergy.com,Yes,IPO,2018/07/25,Unattributed VC - II,2017/02/15,,Venture Capital,Alumni Ventures Group,2700,3000,26.29016553,29.21129503,North America,,green / clean tech;Smart Money VCs;Renewable Energy,,5225,2,40.82,-18.00%,300.00%,@Bloom_Energy
Blucora,http://www.blucora.com,"Blucora (NASDAQ: BCOR) is a technology company that exists to develop companies which enhance consumer lifestyle and ultimately drive shareholder value. Blucora operates two Internet businesses. The InfoSpace business provides online search and monetization solutions to a network of over 100 global partners. Through TaxACT, the company provides online tax preparation solutions to consumers and professional preparers.",Acorn Ventures;Kellett Investment Corporation;Public,6.25,Internet,Internet Software & Services,Search,United States,Washington,Bellevue,425-201-6100,,Yes,IPO,1998/12/15,Unattributed VC - II,1998/08/12,1.75,Venture Capital,Acorn Ventures;Kellett Investment Corporation,301.74,301.74,,,North America,,,,18,0,9,0.00%,,@InfoSpaceCareer
Blue Apron,http://www.blueapron.com,"Blue Apron offers a once-a-week subscription service, delivering all the fresh ingredients needed to make 3 meals in exactly the right proportions. Blue Apron has designed its service to teach users fun new recipes, save prep time and also reduce unnecessary waste.",Bessemer Venture Partners;BoxGroup;Darwin Ventures;David Tisch;Fidelity Investments;First Round Capital;Graph Investments;Jason Finger;Jim Moran;Nat Turner;Public;Stripes Group;Zach Weinberg,256.5,Internet,eCommerce,Food & Grocery,United States,New York,Brooklyn,888-278-4349,contact@blueapron.com,Yes,IPO,2017/06/29,Convertible Note,2017/05/02,63.5,Convertible Note,Fidelity Investments,1890,1890,1.89,2.52,North America,,Food Delivery: Grocery;Smart Money VCs;Tech IPO Pipeline 2017;Meal Kit Startups,1000,53177,1.61,34.09,-3.00%,-14.00%,@blueapron
Bluebird Bio,http://www.bluebirdbio.com,"Bluebird Bio, formerly Genetix Pharmaceuticals, is developing gene therapies for severe genetic disorders. At the heart of bluebird bio's product creation efforts is its broadly applicable gene therapy platform for the development of treatments for diseases with few or no clinical options. The company's approach uses stem cells harvested from the patient's bone marrow into which a healthy version of the disease causing gene is inserted. After being grown in culture, those cells are given back to the patient. bluebird bio's approach represents a true paradigm shift in the treatment of severe genetic diseases by eliminating the potential complications associated with donor cell transplantation and potentially presenting a one-time transformative therapy.",AAC Capital Partners;ARCH Venture Partners;California Institute of Regenerative Medicine;Deerfield Management;Easton Capital;Forbion Capital Partners;French Muscular Dystrophy Association;Johnson & Johnson Innovation;Public;Qualifying Therapeutic Discovery Project;RA Capital Management;Ramius LLC;Regeneron Pharmaceuticals;Sanofi-Genzyme BioVentures;Shire;Third Rock Ventures;TVM Capital,148.2,Healthcare,Drug Development,,United States,Massachusetts,Cambridge,339-499-9300,info@bluebirdbio.co,Yes,IPO,2013/06/19,Grant - III,2012/10/26,9.3,Grant,California Institute of Regenerative Medicine,371.78,371.78,,,North America,,BIO 2016;Pharma Startups;Cancer Therapeutics,,3071,2,4.58,0.00%,100.00%,@bluebirdbio
Blueprint Medicines,http://www.blueprintmedicines.com,"Blueprint Medicines is a patient-driven oncology company discovering and developing highly selective kinase inhibitors for genomically defined cancers. Led by a management team and advisors with world renowned expertise in cancer genomics, drug discovery and clinical oncology, Blueprint Medicines has developed a platform that combines genomics with a novel small molecule library of kinase inhibitors, enabling Blueprint Medicines to rapidly discover potent and highly selective drugs against clear drivers of diseases.",Alexion Pharmaceuticals;BVF Partners;Casdin Capital;Cowen Private Investments;F-Prime Capital;Massachusetts Life Sciences Center;Nextech Invest;Partner Fund Management;Perceptive Advisors;Public;RA Capital Management;Redmile Group;Sabby Capital;Tavistock Group;Third Rock Ventures;Wellington Management,115.16,Healthcare,Drug Development,,United States,Massachusetts,Cambridge,617-374-7580,,Yes,IPO,2015/04/30,Series C,2014/11/12,50,Series C,F-Prime Capital;Sabby Capital;RA Capital Management;Third Rock Ventures;Tavistock Group;Partner Fund Management;Nextech Invest;BVF Partners;Redmile Group;Cowen Private Investments;Casdin Capital;Perceptive Advisors;Wellington Management,422.85,508.66,,,North America,,Pharma Startups;Cancer Therapeutics,,414,0,4.5,440.00%,,@BlueprintMeds
Boingo Wireless,http://www.boingo.com,Boingo Wireless offers Wi-fi based high-speed wireless Internet service.,Amerindo Investment Advisors;ATEL Ventures;Bt Infonet;eCompanies;Mitsui & Co. Global Investment;New Enterprise Associates;Public;Red Rock Ventures;Saints Capital;Sprint;Steelpoint Capital Partners;Sternhill Partners;Undisclosed Investors,99.5,Mobile & Telecommunications,Telecom Services,Wireless,United States,California,Los Angeles,310-586-5180,info@boingo.com,Yes,IPO,2011/05/05,Series C,2006/08/10,65,Series C,New Enterprise Associates;Mitsui & Co. Global Investment;Steelpoint Capital Partners;Red Rock Ventures;Sternhill Partners,43.68249,43.68249,0.664878082,0.664878082,North America,,Smart Money VCs,800,10905,0.13,1.6,-11.00%,17.00%,@boingo
Booking Holdings,http://www.bookingholdings.com,"Booking Holdings (NASDAQ: PCLN) specializes in online travel and related services, provided to customers and partners in over 220 countries through six primary brands - Booking.com, priceline.com, KAYAK, agoda.com, Rentalcars.com and OpenTable. The mission of Booking Holdings is to help people experience the world.",Allen & Company;General Atlantic;Liberty Media Corporation ;Public;Quantum Industrial Holdings;Sienna Ventures;Soros Fund Management;TowerBrook Capital Partners;Vulcan Capital,75.4,Internet,eCommerce,Travel (internet),United States,Connecticut,Norwalk,203-299-8000,,Yes,IPO,1999/08/19,Series C,1998/12/11,55.35,Series C,Allen & Company;Quantum Industrial Holdings;Vulcan Capital;Liberty Media Corporation ;General Atlantic;Soros Fund Management;TowerBrook Capital Partners,,,,,North America,,Travel Technology (Travel Tech),,,,,,,
Box,http://www.box.com,"Box is a provider of tools for managing and sharing data online. The service allows users to share, access, and collaborate on files of any type from anywhere. Per the company, they have nearly 2 million users, over 1 million files served every day, and more than 1000 developers in the Box Enabled Network, and the service is used by individuals, small businesses, and Fortune 1000 companies.",A-Grade;Andreessen Horowitz;Bessemer Venture Partners;Coatue Management;DFJ Growth Fund;DST Global;Emergence Capital Partners;General Atlantic;Hercules Capital;Intel Capital;ITOCHU Technology Ventures;Macnica;Mark Cuban;Meritech Capital Partners;Mitsui & Co. (U.S.A.);New Enterprise Associates;Public;Salesforce Ventures;Sapphire Ventures;Scale Venture Partners;Social Capital;Telefonica Ventures;Telstra Ventures;Threshold Ventures;TPG Growth;Undisclosed Investors;US Venture Partners;XG Ventures,562.46,Internet,Internet Software & Services,Data Storage,United States,California,Los Altos,650-329-1210,info@box.net,Yes,IPO,2015/01/23,Unattributed,2014/11/17,3.85,Undisclosed,Undisclosed Investors,1670,1670,13.46774194,13.46774194,North America,,Collision Conference 4.26.2016 ;Smart Money VCs;Money 20/20 Vegas;Cloud Computing;Enterprise SaaS,,73476,3.13,38.05,17.00%,-4.00%,@BoxHQ
Brightcove,http://www.brightcove.com,"Brightcove is a global provider of cloud-based solutions for publishing and distributing professional digital media. Brightcove Video Cloud, the company's flagship product released in 2006, is an online video platform.",Accel;Allen & Company;AllianceBernstein;AOL;AOL Ventures;Bain Capital Public Equity;Breyer Capital;Cyber Communications;Dentsu;General Catalyst;Hearst Ventures;IAC;J-Stream;Maverick Capital;Public;The New York Times Company;TransCosmos;WarnerMedia Investments,98.1,Internet,Internet Software & Services,Video,United States,Massachusetts,Cambridge,,,Yes,IPO,2012/02/18,Series D - II,2010/04/14,12,Series D,Accel;Breyer Capital;Bain Capital Public Equity;Maverick Capital;Hearst Ventures;General Catalyst;AOL Ventures;AllianceBernstein,290.12,290.12,4.564505979,4.564505979,North America,,ad tech;Smart Money VCs,,15247,0.59,10.63,629.00%,60.00%,@Brightcove
BroadVision,http://www.broadvision.com,"BroadVision, Inc. develops and sells an integrated suite of packaged applications for conducting e-business interactions, transactions and services. Global enterprises and government entities use these applications to sell, buy and exchange goods, services and information over the Web and on wireless devices. The BroadVision e-business application suite enables a corporation to establish and sustain high-yield relationships with customers, suppliers, partners, distributors, employees and other constituents of the extended enterprise.",Cowen;Gemini Investment Strategies;Manchester Securities Corp;Mayfield Fund;Polygon Investment Partners LLP;Public;SF Capital Group;Sutter Hill Ventures;Undisclosed Venture Investors;Vector Capital,27.7,Internet,Internet Software & Services,Content Management,United States,California,Redwood City,650-331-1000,info@broadvision.com,Yes,IPO,2007/06/06,Unattributed VC,2004/11/11,16,Venture Capital,Gemini Investment Strategies;SF Capital Group;Manchester Securities Corp;Polygon Investment Partners LLP;Cowen,14.13815,14.13815,,,North America,,,,774,0.33,1.94,-4.00%,,@BroadVision
Buddy Platform,http://www.buddy.com,"Buddy has built the engine through which the world's connected devices send their telemetry data, handling volume, sensitivity and security requirements. Buddy helps companies manage and derive value from the flow of this ever-increasing volume of data. Used by connected home IoT manufacturers, networked audio device manufacturers, mobile app developers and even silicon vendors, Buddy helps these customers pipe the raw data generated by their products, directly into their existing data management workflow. It's simple, lightweight and seamless.",Alliance of Angels;Bing Fund;Crestlight Venture Productions;Potash Minerals;Transmedia Capital;Undisclosed Investors,1.14,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,United States,Washington,Seattle,206-745-9077,info@buddy.com,Yes,Reverse Merger,2015/12/31,Angel - II,2013/07/01,,Angel,Alliance of Angels,,,,,North America,,Internet of Things ( IoT );Mobile World Congress 2016;Industrial Internet of Things ( IIoT ),,1787,1,0.92,25.00%,400.00%,@BuddyPlatform
Build-A-Bear Workshop,http://www.buildabear.com,"Build-A-Bear Workshop is a Retail (non-internet/mobile)/Other Retail company based in St Louis, Missouri. Build-A-Bear Workshop's investors include Catterton Partners and Kansas City Equity Partners.",Kansas City Equity Partners;L Catterton;Public,12,Retail (non-internet/mobile),Other Retail,,United States,Missouri,St. Louis,314-423-8000,,Yes,IPO,2004/10/22,Unattributed VC,2000/04/13,12,Venture Capital,L Catterton;Kansas City Equity Partners,,,,,North America,,,,59194,2.18,5.03,84.00%,43.00%,@buildabear
BuildingIQ,http://www.buildingiq.com,"BuildingIQ is a provider of advanced energy management software that actively predicts and manages heating, ventilation and air conditioning (HVAC) loads in commercial buildings. The company's cloud-based solution is powering energy and operational savings in buildings with reductions in HVAC energy costs as high as 25 percent. BuildingIQ is trading on the Australian Securities Exchange under the ASX code BIQ.",Aster Capital;Commercialisation Australia;Exto Partners;next47;Paladin Capital Group;Public,17.3,Software (non-internet/mobile),Green/Environmental Software,,United States,California,San Mateo,888-260-4080,,Yes,IPO,2015/12/17,Series A - II,2015/03/11,2.7,Series A,next47;Paladin Capital Group,60.51,60.51,,,North America,,Internet of Things ( IoT );Real Estate Tech;green / clean tech;Industrial Internet of Things ( IIoT );Artificial Intelligence ( AI );HVAC Tech;Smart Buildings,,1231,0.06,1.39,-85.00%,-67.00%,@BuildingIQ
